item,itemLabel,startDate,endDate,psid
Q110834704,Daniel Dee Ziankhan,2014-02-11,2018-02-06,Q110834704-8F8B1718-B5E7-4176-AC86-07FE095D4854
Q5545058,George T. Washington,1965-01-01,1970-01-01,Q5545058-8A8A5E14-5CEF-4A66-A0C2-665A3A1A10C9
Q66498818,Prince C. Johnson II,1997-08-01,1999-11-01,Q66498818-337C4B97-D1EA-48D1-9F1D-3E7A8C2628EE
Q66498832,Prince C. Johnson III,2018-02-06,,Q66498832-1A7828E8-5AC2-45BD-A437-A95EE7759D36
Q7645321,Suraj Abdurrahman,2007-06-06,2014-02-11,Q7645321-D3EC2880-4AC9-4B80-BE75-E5E016D9AAE8
Q7793332,Thomas Quiwonkpa,1980-05-01,1983-01-01,Q7793332-B4138378-B824-4253-8BF7-5FB0F1C0BAF3
