wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q110515210,Samuel D. Tweah,Samuel D. Tweah,,,Q99471788,Finance Minister of Liberia,2018-01-01,,Q110515210-5E7703B4-6E73-4BCE-B560-E389B8B3CA06
Q110517550,Musa F. Dean,Musa F. Dean,,,Q99486387,Justice minister of Liberia,2018-01-22,,Q110517550-A3C11B94-ED04-4242-B6CE-1DDB0AF6352E
Q110517560,Varney Ali Sirleaf,Varney Ali Sirleaf,,,Q110517563,Minister of Internal Affairs,2018-01-22,,Q110517560-8943FA79-2D94-4C11-9764-75B14CF52749
Q110517565,Ansu Sonii,Ansu Sonii,,,Q99486413,Education Minister of Liberia,2018-01-22,,Q110517565-C288F2CA-5471-473E-8DEF-11590C8F947B
Q110517567,Cooper Kruah,Cooper Kruah,,,Q110517568,Minister of Posts and Telecommunications,2018-01-22,,Q110517567-F6385909-A7DE-4ACF-85D7-CB3406257611
Q110517569,Mobutu Nyenpan,Mobutu Nyenpan,,,Q110517570,Minister of Public Works,2018-01-22,2020-10-30,Q110517569-2C67B1BD-09EE-459A-A27A-60F0609A706F
Q110517574,Williamina Jallah,Williamina Jallah,,,Q110517237,"Minister of Health and Social Welfare, Liberia",2018-01-22,,Q110517574-522F91EF-642E-40A1-9210-3C40097733A8
Q110517575,Gesler E. Murray,Gesler E. Murray,,,Q110517576,"Minister of Lands, Mines, and Energy",2018-01-22,,Q110517575-DDA654BA-3EDC-4C12-81D9-9887334F0A73
Q110517581,Dester Zeogar Wilson,Dester Zeogar Wilson,,,Q110517586,Minister of Youth and Sport,2018-01-22,,Q110517581-0D6AB128-9095-40C6-B6DA-2A21F00FAD2B
Q110517588,Samuel Wlue,Samuel Wlue,,,Q110517589,Minister of Transport,2018-01-22,,Q110517588-F17D1C53-D6E6-4CFC-9FAE-366BF8129771
Q110517593,Nathaniel F. McGill,Nathaniel F. McGill,,,Q110517594,Minister of State for Presidential Affairs,2018-01-22,,Q110517593-EE0401C2-1BCD-4C78-AA82-34D2EEC10FE2
Q110517595,Trokon A. Kpui,Trokon A. Kpui,,,Q110517596,Minister of State without Portfolio,2018-01-22,,Q110517595-67FF915D-6C47-4F5A-B00C-1716A5C8FA03
Q110518154,Mogana Flomo,Mogana Flomo,,,Q110517152,"Minister of Agriculture, Liberia",2018-01-22,2019-06-29,Q110518154-F8144636-6C31-4924-9D96-03AD8FA591A7
Q16207934,Eugene Lenn Nagbe,Eugene Lenn Nagbe,,,Q110517841,"Minister of Information, Culture, and Tourism",2018-01-22,2020-10-01,Q16207934-D322FF15-ED20-423F-BE89-D819CE0BFA56
Q1688608,Jewel Taylor,Jewel Taylor,,,Q3098551,Vice President of Liberia,2018-01-22,,Q1688608-378A176A-ED0F-40FE-BE6D-E4A6835B1894
Q173139,George Weah,George Weah,,,Q19161825,President of Liberia,2018-01-22,,Q173139-1f33a22d-416c-7ced-5399-e7d5f60aadc0
Q60169093,Williametta Saydee-Tarr,Williametta Saydee-Tarr,,,Q96655501,Minister of Gender and Development,2018-01-22,,Q60169093-24DA6259-6143-4DE2-9672-51EB4590DEDC
Q60432513,Wilson Tarpeh,Wilson Tarpeh,,,Q110517517,Minister of Commerce and Industry,2018-01-22,2020-10-01,Q60432513-77df2eed-47ae-de17-203b-6f39d3aa89d9
Q9266530,Gbehzohngar Findley,Gbehzohngar Findley,,,Q6866161,Minister of Foreign Affairs,2018-01-22,2020-07-28,Q9266530-09EE208D-B502-4CD6-BB2C-0F950C9FC210
Q95952220,Moses Y. Kollie,Moses Y. Kollie,,,Q110517828,Minister of Labour,2018-01-22,,Q95952220-16AC3AC8-3A87-4352-BEDF-591F35AB6327
Q99485794,Daniel Dee Ziankahn,Daniel Dee Ziankahn,,,Q99477490,Defence minister of Liberia,2018-01-22,,Q99485794-e469d607-4fc0-7502-ee30-b1c437b66e16
