item,itemLabel,position,positionLabel,start,psid
Q110515210,Samuel D. Tweah,Q99471788,Finance Minister of Liberia,2018-01-01,Q110515210-5E7703B4-6E73-4BCE-B560-E389B8B3CA06
Q110515353,Dee-Maxwell Saah Kemaya Sr.,Q6866161,Minister of Foreign Affairs,2020-10-12,Q110515353-15D9E4BD-A70D-4009-9522-4CA8B22C6BD2
Q110517550,Musa F. Dean,Q99486387,Justice minister of Liberia,2018-01-22,Q110517550-A3C11B94-ED04-4242-B6CE-1DDB0AF6352E
Q110517560,Varney A. Sirleaf,Q110517563,Minister of Internal Affairs,2018-01-22,Q110517560-8943FA79-2D94-4C11-9764-75B14CF52749
Q110517565,Ansu Sonii,Q99486413,Education Minister of Liberia,2018-01-22,Q110517565-C288F2CA-5471-473E-8DEF-11590C8F947B
Q110517567,Cooper Kruah,Q110517568,Minister of Posts and Telecommunications,2018-01-22,Q110517567-F6385909-A7DE-4ACF-85D7-CB3406257611
Q110517571,Jeanine M. Cooper,Q110517152,"Minister of Agriculture, Liberia",2020-01-16,Q110517571-6CC2C757-86A4-4A52-B377-8E72233C7A6A
Q110517574,Williamina Jallah,Q110517237,"Minister of Health and Social Welfare, Liberia",2018-01-22,Q110517574-522F91EF-642E-40A1-9210-3C40097733A8
Q110517575,Gesler E. Murray,Q110517576,"Minister of Lands, Mines, and Energy",2018-01-22,Q110517575-DDA654BA-3EDC-4C12-81D9-9887334F0A73
Q110517581,Dester Zeogar Wilson,Q110517586,Minister of Youth and Sport,2018-01-22,Q110517581-0D6AB128-9095-40C6-B6DA-2A21F00FAD2B
Q110517588,Samuel Wlue,Q110517589,Minister of Transport,2018-01-22,Q110517588-F17D1C53-D6E6-4CFC-9FAE-366BF8129771
Q110517593,Nathaniel F. McGill,Q110517594,Minister of State for Presidential Affairs,2018-01-22,Q110517593-EE0401C2-1BCD-4C78-AA82-34D2EEC10FE2
Q110517595,Trokon A. Kpui,Q110517596,Minister of State without Portfolio,2018-01-22,Q110517595-67FF915D-6C47-4F5A-B00C-1716A5C8FA03
Q110517885,Mawine G. Diggs,Q110517517,Minister of Commerce and Industry,2020-10-01,Q110517885-2C562D34-43BA-4072-B3FA-10D439F239B6
Q110517961,Ledgerhood Julius Rennie,Q110517841,"Minister of Information, Culture, and Tourism",2020-10-01,Q110517961-2C9AC502-8C2B-433D-B220-820B8DE1B530
Q110544461,Ruth Coker Collins,Q110517570,Minister of Public Works,2020-10-30,Q110544461-C3B5C652-5F41-46B6-B91C-4924815ACF00
Q1688608,Jewel Taylor,Q3098551,Vice President of Liberia,2018-01-22,Q1688608-378A176A-ED0F-40FE-BE6D-E4A6835B1894
Q173139,George Weah,Q19161825,President of Liberia,2018-01-22,Q173139-1f33a22d-416c-7ced-5399-e7d5f60aadc0
Q60169093,Williametta Saydee-Tarr,Q96655501,Minister of Gender and Development,2018-01-22,Q60169093-24DA6259-6143-4DE2-9672-51EB4590DEDC
Q95952220,Moses Y. Kollie,Q110517828,Minister of Labour,2018-01-22,Q95952220-16AC3AC8-3A87-4352-BEDF-591F35AB6327
Q99485794,Daniel Dee Ziankahn,Q99477490,Defence minister of Liberia,2018-01-22,Q99485794-e469d607-4fc0-7502-ee30-b1c437b66e16
